split,lead_minutes,cost_ratio,method,metric,value,windows,alert_rate,threshold,threshold_source,validation_cost,constant_action
validation,15,10.0,np008_full_rolling,alert_rate,0.5832006369426752,2512,0.5832006369426752,0.105,validation_only,0.5115445859872612,thresholded_forecast
test,15,10.0,np008_full_rolling,actual_cost,0.5504926108374384,6496,0.5290948275862069,0.105,validation_only,0.5115445859872612,thresholded_forecast
test,15,10.0,np008_full_rolling,alert_rate,0.5290948275862069,6496,0.5290948275862069,0.105,validation_only,0.5115445859872612,thresholded_forecast
validation,15,10.0,train_frequency,actual_cost,0.8539012738853503,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
validation,15,10.0,train_frequency,alert_rate,1.0,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
test,15,10.0,train_frequency,actual_cost,0.8402093596059114,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
test,15,10.0,train_frequency,alert_rate,1.0,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
validation,15,10.0,validation_frequency,actual_cost,0.8539012738853503,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
validation,15,10.0,validation_frequency,alert_rate,1.0,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
test,15,10.0,validation_frequency,actual_cost,0.8402093596059114,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
test,15,10.0,validation_frequency,alert_rate,1.0,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
validation,15,10.0,no_alert,actual_cost,1.460987261146497,2512,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
validation,15,10.0,no_alert,alert_rate,0.0,2512,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
test,15,10.0,no_alert,actual_cost,1.5979064039408868,6496,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
test,15,10.0,no_alert,alert_rate,0.0,6496,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
validation,15,10.0,always_alert,actual_cost,0.8539012738853503,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,15,10.0,always_alert,alert_rate,1.0,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,15,10.0,always_alert,actual_cost,0.8402093596059114,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,15,10.0,always_alert,alert_rate,1.0,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,15,10.0,validation_constant,actual_cost,0.8539012738853503,2512,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
validation,15,10.0,validation_constant,alert_rate,1.0,2512,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
test,15,10.0,validation_constant,actual_cost,0.8402093596059114,6496,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
test,15,10.0,validation_constant,alert_rate,1.0,6496,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
validation,60,2.0,np008_full_rolling,actual_cost,0.2921974522292994,2512,0.0,0.56,validation_only,0.2921974522292994,thresholded_forecast
validation,60,2.0,np008_full_rolling,alert_rate,0.0,2512,0.0,0.56,validation_only,0.2921974522292994,thresholded_forecast
test,60,2.0,np008_full_rolling,actual_cost,0.31742610837438423,6496,0.004310344827586207,0.56,validation_only,0.2921974522292994,thresholded_forecast
test,60,2.0,np008_full_rolling,alert_rate,0.004310344827586207,6496,0.004310344827586207,0.56,validation_only,0.2921974522292994,thresholded_forecast
validation,60,2.0,train_frequency,actual_cost,0.2921974522292994,2512,0.0,0.215,validation_only,0.2921974522292994,thresholded_train_frequency
validation,60,2.0,train_frequency,alert_rate,0.0,2512,0.0,0.215,validation_only,0.2921974522292994,thresholded_train_frequency
test,60,2.0,train_frequency,actual_cost,0.3195812807881773,6496,0.0,0.215,validation_only,0.2921974522292994,thresholded_train_frequency
test,60,2.0,train_frequency,alert_rate,0.0,6496,0.0,0.215,validation_only,0.2921974522292994,thresholded_train_frequency
validation,60,2.0,validation_frequency,actual_cost,0.2921974522292994,2512,0.0,0.15,validation_only,0.2921974522292994,thresholded_validation_frequency
validation,60,2.0,validation_frequency,alert_rate,0.0,2512,0.0,0.15,validation_only,0.2921974522292994,thresholded_validation_frequency
test,60,2.0,validation_frequency,actual_cost,0.3195812807881773,6496,0.0,0.15,validation_only,0.2921974522292994,thresholded_validation_frequency
test,60,2.0,validation_frequency,alert_rate,0.0,6496,0.0,0.15,validation_only,0.2921974522292994,thresholded_validation_frequency
validation,60,2.0,no_alert,actual_cost,0.2921974522292994,2512,0.0,-1.0,deterministic_policy,0.2921974522292994,no_alert
validation,60,2.0,no_alert,alert_rate,0.0,2512,0.0,-1.0,deterministic_policy,0.2921974522292994,no_alert
test,60,2.0,no_alert,actual_cost,0.3195812807881773,6496,0.0,-1.0,deterministic_policy,0.2921974522292994,no_alert
test,60,2.0,no_alert,alert_rate,0.0,6496,0.0,-1.0,deterministic_policy,0.2921974522292994,no_alert
validation,60,2.0,always_alert,actual_cost,0.8539012738853503,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,60,2.0,always_alert,alert_rate,1.0,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,60,2.0,always_alert,actual_cost,0.8402093596059114,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,60,2.0,always_alert,alert_rate,1.0,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,60,2.0,validation_constant,actual_cost,0.2921974522292994,2512,0.0,-1.0,validation_constant_selection,0.2921974522292994,no_alert
validation,60,2.0,validation_constant,alert_rate,0.0,2512,0.0,-1.0,validation_constant_selection,0.2921974522292994,no_alert
test,60,2.0,validation_constant,actual_cost,0.3195812807881773,6496,0.0,-1.0,validation_constant_selection,0.2921974522292994,no_alert
test,60,2.0,validation_constant,alert_rate,0.0,6496,0.0,-1.0,validation_constant_selection,0.2921974522292994,no_alert
validation,60,5.0,np008_full_rolling,actual_cost,0.5027866242038217,2512,0.3503184713375796,0.185,validation_only,0.5027866242038217,thresholded_forecast
validation,60,5.0,np008_full_rolling,alert_rate,0.3503184713375796,2512,0.3503184713375796,0.185,validation_only,0.5027866242038217,thresholded_forecast
test,60,5.0,np008_full_rolling,actual_cost,0.5004618226600985,6496,0.3462130541871921,0.185,validation_only,0.5027866242038217,thresholded_forecast
test,60,5.0,np008_full_rolling,alert_rate,0.3462130541871921,6496,0.3462130541871921,0.185,validation_only,0.5027866242038217,thresholded_forecast
validation,60,5.0,train_frequency,actual_cost,0.7304936305732485,2512,0.0,0.215,validation_only,0.7304936305732485,thresholded_train_frequency
validation,60,5.0,train_frequency,alert_rate,0.0,2512,0.0,0.215,validation_only,0.7304936305732485,thresholded_train_frequency
test,60,5.0,train_frequency,actual_cost,0.7989532019704434,6496,0.0,0.215,validation_only,0.7304936305732485,thresholded_train_frequency
test,60,5.0,train_frequency,alert_rate,0.0,6496,0.0,0.215,validation_only,0.7304936305732485,thresholded_train_frequency
validation,60,5.0,validation_frequency,actual_cost,0.7304936305732485,2512,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
validation,60,5.0,validation_frequency,alert_rate,0.0,2512,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
test,60,5.0,validation_frequency,actual_cost,0.7989532019704434,6496,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
test,60,5.0,validation_frequency,alert_rate,0.0,6496,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
validation,60,5.0,no_alert,actual_cost,0.7304936305732485,2512,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
validation,60,5.0,no_alert,alert_rate,0.0,2512,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
test,60,5.0,no_alert,actual_cost,0.7989532019704434,6496,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
test,60,5.0,no_alert,alert_rate,0.0,6496,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
validation,60,5.0,always_alert,actual_cost,0.8539012738853503,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,60,5.0,always_alert,alert_rate,1.0,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,60,5.0,always_alert,actual_cost,0.8402093596059114,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,60,5.0,always_alert,alert_rate,1.0,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,60,5.0,validation_constant,actual_cost,0.7304936305732485,2512,0.0,-1.0,validation_constant_selection,0.7304936305732485,no_alert
validation,60,5.0,validation_constant,alert_rate,0.0,2512,0.0,-1.0,validation_constant_selection,0.7304936305732485,no_alert
